,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic,score,pred_val,pred_twostate,pred_threestate
365106,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,-H,,112,55.43113058507581,22588.378493752232,0.576271186440678,0.2994350282485876,0.0025994738913399,0.0037264094242096,0.0003961651216226,0.0003961651216226,56.708157750989166,2,9897055.0,9896879.0,1751778816.0,30146266.0,32494.40625,438.1470947265625,176.02317810058594,56225.54302934737,304.5771822780365,0.0084008499979972,0.008400690741837,1.486950397491455,0.0255382899194955,2.9505170459742654e-05,3.836862845219002e-07,1.5915738060812148e-07,8.399513153485392,8.160085290534038,,0.9994578598581524,1,2
365107,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,-H,-H2,112,7.883612453080243,119.8810725849188,0.2033898305084746,0.1412429378531073,0.0174506514219432,0.0195937011660055,0.0157990650503129,0.0157990650503129,7.868510899602818,6,84995.8515625,84284.203125,15044266.0,289039.46875,2483.9677734375,709.0004272460938,711.6521606445312,119.4343765515224,34.21776170111689,7.212993659777567e-05,7.139891386032104e-05,0.0127669982612133,0.0002450680185575,2.29832653531048e-06,7.260558732014033e-07,7.310206342481251e-07,0.0720772466432196,0.0719645385891348,,0.8690919407876461,1,2
365108,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,-H,-H2O,112,1.7441468781449936,9.503401171130088,0.384180790960452,0.384180790960452,0.220157832598024,0.2380394278158432,0.2102685999524602,0.2102685999524602,1.746519466820872,189,173497.609375,155271.8125,30709078.0,488084.40625,21730.716796875,18256.369140625,18225.802734375,9.519339278726717,7.983979682435982,0.0001472290750825,0.0001306340273004,0.0260595455765724,0.000413032103097,1.959263681783341e-05,1.6606581993983127e-05,1.6595055058132857e-05,0.1448256848683556,0.144399900279863,,0.3077536054319298,0,1
365109,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,[M]-,-CO2,112,1.4458151656357945,1.137261687592952,0.7457627118644068,0.7457627118644068,0.5393649412788168,0.6019052770765717,0.5058077806829887,0.5058077806829887,1.457578944171783,189,101631.640625,12510.5859375,17988800.0,80949.9453125,111150.3828125,89365.21875,89121.0546875,1.1403774320332103,0.9143615805811592,8.342160435859114e-05,1.2311800674069673e-05,0.0147656239569187,6.363542343024164e-05,8.798213821137324e-05,7.13635963620618e-05,7.110980368452147e-05,0.077883335650209,0.0766755275006031,,0.008071290582882739,0,0
365110,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,[M]-,+H2,112,0.8704378870424532,0.8789843597673024,0.1242937853107344,0.1242937853107344,0.1406719277532674,0.1556978002163721,0.1327945487679264,0.1327945487679264,0.8702027319598635,189,8474.8212890625,-1172.3642578125,1500043.375,22859.14453125,12472.876953125,9641.60546875,9647.185546875,0.8784759419633839,0.6794599707390857,7.195106263679918e-06,-1.6740095816203393e-06,0.0012735337950289,1.9497476387186907e-05,1.1267917216173371e-05,8.851053280523047e-06,8.869115845300257e-06,0.0071318530329391,0.0071149357565764,,0.008224740666897653,0,0
365111,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,[M]-,-CH2O3,112,0.8555891474607658,0.8583174617417614,0.1694915254237288,0.1694915254237288,0.2015990389196131,0.2273710782545979,0.1880991997464543,0.1880991997464543,0.8556880905215358,189,15022.8447265625,-2529.7333984375,2659043.5,35388.38671875,21830.828125,17502.666015625,17552.578125,0.8558767699936234,0.6881481523465729,1.2019378118566236e-05,-1.7151378415292129e-06,0.0021274299360811,2.789634163491428e-05,1.672668986429926e-05,1.3703132026421372e-05,1.373451596009545e-05,0.0118565343581922,0.0118216411926497,,0.008810286410264505,0,0
365112,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,-H,+H2,112,0.5157989955712643,0.704247513693097,0.0282485875706214,0.0282485875706214,0.044688166697736,0.0446267580238009,0.0447666587433642,0.0447666587433642,0.5138991272034292,188,2197.359375,-934.201171875,388932.625,13111.0478515625,3289.54541015625,3120.151123046875,3131.560546875,0.7016816824797057,0.6679824817840547,1.892357090582664e-06,-1.2826129704990308e-06,0.0003349471953697,1.1247959264437668e-05,3.125139073745231e-06,3.1551142001262637e-06,3.1749700610816944e-06,0.0018863679288842,0.001886461635614,,0.005245405812840501,0,0
365113,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,[M]-,,112,4.757015083740321,46.62367805748021,0.2090395480225988,0.2090395480225988,0.0347666687379606,0.0354008895299915,0.0339434276206322,0.0339434276206322,4.761606838062431,186,107008.171875,104714.8046875,18940446.0,371047.5625,2815.4306640625,2295.1455078125,2293.363525390625,46.65990543163803,38.00773190161312,9.067681821761651e-05,8.837828499963507e-05,0.0160497967153787,0.0003142904606647,2.6775219339469918e-06,2.293141051268321e-06,2.298536401212914e-06,0.0904688722216384,0.0904346773853278,,0.8245165958347828,1,2
365114,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,-H,-CH2O2,112,12.08203205665004,74.43988131052284,0.3559322033898305,0.3559322033898305,0.0211893369788106,0.0226890251232119,0.0194596307741066,0.0194596307741066,12.080931273469988,183,97603.0625,96292.6640625,17275742.0,218795.890625,1883.4993896484373,1311.165283203125,1310.3990478515625,74.48340883383128,51.82003839044492,8.286696538561955e-05,8.15240346128121e-05,0.0146674532443284,0.0001856049202615,1.7939145209311391e-06,1.3382937140704598e-06,1.3429289538180456e-06,0.0827558301851666,0.0827185753321804,,0.9689614163112508,1,2
365115,2022-03-11_09h27m55s,Glutathione,C10H17N3O6S,[M]-,-H2O,112,1.0480741355972307,1.167843446626588,0.231638418079096,0.231638418079096,0.2188943432962571,0.2337720879913451,0.2110133903811108,0.2110133903811108,1.0514218840215797,189,25817.2265625,3786.576171875,4569649.0,52050.375,25529.64453125,22106.751953125,22030.650390625,1.1718775856753083,1.0112645916253706,2.2135125618660823e-05,1.6862104530446231e-06,0.0039179171435534,4.4090247683925554e-05,2.3283810151042417e-05,2.0486848370637745e-05,2.04489151656162e-05,0.0216915568135699,0.0216314627467755,,0.003880876903512454,0,0
