,dataset_id,name_short,formula,adduct,neutral_loss,well,occupancy_ratio,on_off_ratio,spot_occupancy,spot_occupancy_thresholded,image_occupancy,other_spots_occupancy,bg_occupancy,far_bg_occupancy,occupancy_vs_far_bg_ratio,in_n_spots,spot_intensity,spot_intensity_bgr_corrected,spot_intensity_sum,spot_intensity_std,other_spot_intensity,bg_intensity,far_bg_intensity,intensity_vs_far_bg_ratio,intensity_vs_other_spots_ratio,spot_intensity_tic_norm,spot_intensity_bgr_corrected_tic_norm,spot_intensity_sum_tic_norm,spot_intensity_std_tic_norm,other_spot_intensity_tic_norm,bg_intensity_tic,far_bg_intensity_tic,intensity_vs_far_bg_ratio_tic,intensity_vs_other_spots_ratio_tic,score,pred_val,pred_twostate,pred_threestate
85080,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,[M]+,,139,62.31884057971014,61667636.71875,0.6231884057971014,0.5942028985507246,0.0012970828352704,0.0006167129201356,0.0,0.0,62.31884057971014,2,61667.63671875,61667.63671875,4255067.0,170371.109375,4.781623840332031,0.0,0.0,61667636.71875,12894.10139235804,0.006668321788311,0.006668321788311,0.4601142108440399,0.0171820223331451,6.203596853993076e-07,0.0,0.0,6.668321788311005,6.664187594991134,,0.999654361162161,1,2
85081,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,[M]+,-CH2O2,139,0.0,0.0,0.0,0.0,0.0020092067448307,0.0060900400863398,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,305.6744384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8905512812780216e-05,0.0,0.0,0.0,0.0,,0.006167804623524791,0,0
85082,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,[M]+,-H2,139,0.0,0.0,0.0,0.0,0.002797629644701,0.0074005550416281,0.0005327650506126,0.0005327650506126,0.0,6,0.0,-0.0415352284908294,0.0,0.0,20.82756805419922,0.0445838421583175,0.0415352284908294,0.0,0.0,0.0,-5.636441535727954e-09,0.0,0.0,2.782501724141184e-06,6.034283739353441e-09,5.636441535727954e-09,0.0,0.0,,0.006167804623524791,0,0
85083,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+Na,+C10H10N2,139,0.0,0.0,0.0,0.0,0.0013225158320404,0.0035460992907801,0.000228327878834,0.000228327878834,0.0,18,0.0,-0.0409331135451793,0.0,0.0,2.1028895378112797,0.0401168800890445,0.0409331135451793,0.0,0.0,0.0,-5.046300710631613e-09,0.0,0.0,3.576392941795348e-07,4.945674092482477e-09,5.046300710631613e-09,0.0,0.0,,0.006167804623524791,0,0
85084,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+K,+C10H10N2,139,1.2310272097687662,1.4265155489372556,0.463768115942029,0.463768115942029,0.397314275541087,0.4589115016959605,0.3667326280538854,0.3667326280538854,1.2306254013657163,189,132.22496032714844,39.57792663574219,9123.5224609375,151.28941345214844,129.610595703125,92.68986511230467,92.64703369140624,1.427175030692672,1.0201630464453917,1.4934008504496887e-05,3.0624159990111366e-06,0.0010304466122761,1.702421832305845e-05,1.4947118870622944e-05,1.1867198736581486e-05,1.187159250548575e-05,0.0147587980679632,0.0147140754693846,,0.004189094103336458,0,0
85085,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+Na,-H2O,139,0.0,0.0,0.0,0.0,0.008240290953483,0.007554733271662,0.0086003501027475,0.0086003501027475,0.0,66,0.0,-1.2467732429504397,0.0,0.0,1.4496653079986572,1.250762104988098,1.2467732429504397,0.0,0.0,0.0,-1.586007556397817e-07,0.0,0.0,1.7237105964795776e-07,1.5876196357567096e-07,1.586007556397817e-07,0.0,0.0,,0.006167804623524791,0,0
85086,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+K,+C10H8N2,139,1.092580578288716,1.2117367876722045,0.6811594202898551,0.6811594202898551,0.6364098781759455,0.6827012025901943,0.6134409011340285,0.6134409011340285,1.093095054761675,189,213.161865234375,37.444183349609375,14708.1689453125,172.75820922851562,216.49737548828125,175.913330078125,175.71768188476562,1.213085956188564,0.9845887515489148,2.489291546226013e-05,2.4870605557225645e-06,0.0017176112160086,2.1638905309373516e-05,2.4891980501706712e-05,2.241446600237396e-05,2.240585490653757e-05,0.0243473913444438,0.0242883308054323,,0.007467629385207841,0,0
85087,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+K,+H2,139,1.1342956060692486,1.1862121249644235,0.5942028985507246,0.5942028985507246,0.5525572878252244,0.6307431390687634,0.5138518913159297,0.5138518913159297,1.1355363802040706,189,138.61404418945312,21.881370544433597,9564.369140625,120.86347198486328,157.29104614257812,116.85334777832033,116.73267364501952,1.1874383788431997,0.8812527243990822,1.5840741980355233e-05,1.2283999240025878e-06,0.0010930112330242,1.390195029671304e-05,1.7996311726165004e-05,1.461979809391778e-05,1.4612342056352643e-05,0.0156126052520218,0.0155607066527528,,0.005678167319809838,0,0
85088,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,[M]+,-NH3,139,0.0,0.0,0.0,0.0,0.0507896945497087,0.0474868948504471,0.0525534667782936,0.0525534667782936,0.0,171,0.0,-7.672022819519043,0.0,0.0,6.76617431640625,7.600444793701172,7.672022819519043,0.0,0.0,0.0,-9.675892442828626e-07,0.0,0.0,7.707583336014068e-07,9.58457690103387e-07,9.675892442828626e-07,0.0,0.0,,0.006167804623524791,0,0
85089,2021-11-08_17h35m14s,Acetylcholine,C7H16NO2,+H,,139,2.6652710456305195,48.14083695867904,0.0289855072463768,0.0289855072463768,0.0008901548869503,0.0007708911501695,0.0008752568688636,0.0008752568688636,2.67043268807036,10,5.405876636505127,5.296782970428467,373.0054931640625,31.44672203063965,0.1005793511867523,0.1112929508090019,0.1090937182307243,49.102498520178834,53.218263095286886,6.823946137046732e-07,6.68500774736458e-07,4.708522828877904e-05,4.365370386949508e-06,1.1093788110372316e-08,1.4245209456476005e-08,1.3893855843605252e-08,0.000682385132744,0.0006823870434474,,0.003019333102061477,0,0
